,time,weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,capital_cities
74,2021-11-14,45,9.7,2.5,7.2,0.1,2021-11-14T06:15,2021-11-14T16:06,0.0,0,5.4,1.2,66,9.01,Sofia
75,2021-11-15,45,10.1,2.7,6.1,0.2,2021-11-15T06:17,2021-11-15T16:05,0.0,0,15.1,1.4,82,8.4,Sofia
76,2021-11-16,61,9.5,4.7,4.7,1.3,2021-11-16T06:18,2021-11-16T16:04,0.54,5,20.0,21.3,95,6.63,Sofia
77,2021-11-17,45,8.6,2.9,5.8,0.2,2021-11-17T06:19,2021-11-17T16:03,0.0,0,10.4,8.1,81,5.9,Sofia
78,2021-11-18,45,10.0,1.1,7.7,-1.0,2021-11-18T06:20,2021-11-18T16:03,0.0,0,10.3,1.1,286,7.42,Sofia
79,2021-11-19,3,9.1,4.8,4.4,1.3,2021-11-19T06:22,2021-11-19T16:02,0.0,0,18.7,19.0,281,7.21,Sofia
80,2021-11-20,3,10.0,6.0,6.7,2.8,2021-11-20T06:23,2021-11-20T16:01,0.0,0,15.4,12.5,284,3.93,Sofia
81,2021-11-12,45,6.0,5.3,4.4,3.6,2021-11-12T06:50,2021-11-12T16:30,0.0,0,3.9,2.2,90,1.34,Zagreb
82,2021-11-13,61,9.6,5.5,8.2,3.6,2021-11-13T06:51,2021-11-13T16:29,0.04,1,5.5,4.3,80,2.48,Zagreb
83,2021-11-14,80,8.5,7.1,7.4,4.9,2021-11-14T06:53,2021-11-14T16:27,2.14,12,8.2,4.3,73,0.88,Zagreb
84,2021-11-15,3,11.6,6.3,8.9,5.0,2021-11-15T06:54,2021-11-15T16:26,0.0,0,10.6,2.6,62,5.53,Zagreb
85,2021-11-16,3,8.8,6.3,6.5,3.2,2021-11-16T06:56,2021-11-16T16:25,0.01,1,13.9,4.9,53,2.0,Zagreb
86,2021-11-17,3,8.6,6.7,6.7,5.3,2021-11-17T06:57,2021-11-17T16:24,0.0,0,7.2,2.3,86,2.04,Zagreb
87,2021-11-18,3,10.3,5.2,8.7,3.2,2021-11-18T06:58,2021-11-18T16:23,0.0,0,4.6,6.8,282,3.11,Zagreb
88,2021-11-19,3,10.0,3.1,8.6,0.6,2021-11-19T07:00,2021-11-19T16:23,0.0,0,6.9,8.1,272,4.59,Zagreb
89,2021-11-20,45,13.8,4.2,13.2,2.0,2021-11-20T07:01,2021-11-20T16:22,0.0,0,5.0,8.1,352,7.17,Zagreb
90,2021-11-12,3,22.1,9.6,20.1,7.6,2021-11-12T05:17,2021-11-12T15:44,0.0,0,9.3,4.5,322,14.21,Nicosia
91,2021-11-13,3,22.7,10.5,22.3,9.2,2021-11-13T05:18,2021-11-13T15:43,0.0,0,12.4,7.2,352,10.94,Nicosia
92,2021-11-14,3,25.0,11.6,23.4,10.7,2021-11-14T05:19,2021-11-14T15:42,0.0,0,12.8,6.0,125,13.05,Nicosia
93,2021-11-15,3,25.7,13.0,25.3,12.1,2021-11-15T05:20,2021-11-15T15:42,0.0,0,8.4,3.5,287,12.97,Nicosia
94,2021-11-16,3,25.2,12.2,23.0,11.1,2021-11-16T05:21,2021-11-16T15:41,0.0,0,7.1,2.5,327,13.58,Nicosia
95,2021-11-17,3,22.7,12.4,22.5,12.0,2021-11-17T05:22,2021-11-17T15:41,0.0,0,7.9,4.7,317,9.86,Nicosia
96,2021-11-18,3,23.8,11.6,23.9,11.4,2021-11-18T05:23,2021-11-18T15:40,0.0,0,6.0,4.5,312,12.58,Nicosia
97,2021-11-19,3,22.4,13.2,22.5,13.1,2021-11-19T05:24,2021-11-19T15:39,0.45,6,7.6,9.7,271,11.98,Nicosia
98,2021-11-20,1,21.6,11.9,20.5,11.0,2021-11-20T05:25,2021-11-20T15:39,0.03,3,10.3,2.5,323,12.15,Nicosia
99,2021-11-12,3,5.7,4.2,3.1,2.1,2021-11-12T07:09,2021-11-12T16:23,0.0,0,7.2,1.7,136,2.3,Prague
100,2021-11-13,61,5.5,4.5,3.0,2.2,2021-11-13T07:10,2021-11-13T16:22,1.47,5,6.1,4.6,189,1.71,Prague
101,2021-11-14,61,7.3,4.5,5.1,2.7,2021-11-14T07:12,2021-11-14T16:21,0.7,3,7.4,3.8,42,2.19,Prague
102,2021-11-15,45,8.6,3.8,6.1,1.9,2021-11-15T07:14,2021-11-15T16:19,0.0,0,9.7,5.4,59,4.87,Prague
103,2021-11-16,45,9.3,2.9,6.7,0.7,2021-11-16T07:15,2021-11-16T16:18,0.0,0,10.5,4.8,108,3.63,Prague
104,2021-11-17,3,8.4,5.1,5.6,3.2,2021-11-17T07:17,2021-11-17T16:17,0.08,4,10.4,3.8,227,2.03,Prague
105,2021-11-18,61,9.3,6.2,5.5,3.0,2021-11-18T07:18,2021-11-18T16:16,0.35,12,16.8,21.6,245,4.43,Prague
106,2021-11-19,61,10.6,7.0,7.6,2.7,2021-11-19T07:20,2021-11-19T16:15,0.6,14,20.4,25.9,251,0.81,Prague
107,2021-11-20,3,11.2,8.2,7.1,4.4,2021-11-20T07:21,2021-11-20T16:14,0.03,3,22.5,27.1,253,3.56,Prague
108,2021-11-12,3,10.0,5.6,8.3,3.4,2021-11-12T07:37,2021-11-12T16:10,0.0,0,19.4,7.7,186,3.08,Copenhagen
109,2021-11-13,61,9.5,7.7,6.5,4.3,2021-11-13T07:39,2021-11-13T16:09,0.3,6,17.4,17.0,130,1.16,Copenhagen
110,2021-11-14,61,8.5,6.3,6.0,3.3,2021-11-14T07:41,2021-11-14T16:07,0.12,8,17.1,18.8,69,1.09,Copenhagen
111,2021-11-15,61,8.6,6.6,5.9,3.8,2021-11-15T07:43,2021-11-15T16:05,0.22,11,12.5,16.6,109,1.75,Copenhagen
112,2021-11-16,3,8.3,7.0,6.3,4.6,2021-11-16T07:45,2021-11-16T16:03,0.1,6,11.8,7.5,139,1.57,Copenhagen
113,2021-11-17,61,8.1,6.1,5.4,2.5,2021-11-17T07:47,2021-11-17T16:02,1.27,8,18.2,19.7,235,1.15,Copenhagen
114,2021-11-18,61,11.1,6.0,7.9,2.4,2021-11-18T07:49,2021-11-18T16:00,1.41,9,21.8,33.7,260,2.18,Copenhagen
115,2021-11-19,61,11.5,4.8,8.6,-1.5,2021-11-19T07:51,2021-11-19T15:59,2.97,15,35.2,29.9,282,0.31,Copenhagen
116,2021-11-20,61,5.3,0.9,-0.9,-4.0,2021-11-20T07:53,2021-11-20T15:57,4.93,10,39.9,29.2,272,2.7,Copenhagen
117,2021-11-12,3,7.1,5.3,2.2,0.8,2021-11-12T07:06,2021-11-12T15:04,0.12,4,27.2,21.9,298,1.96,Tallinn
118,2021-11-13,45,5.0,0.8,2.2,-2.1,2021-11-13T07:08,2021-11-13T15:01,0.0,0,8.2,11.2,206,1.82,Tallinn
119,2021-11-14,3,4.4,1.2,1.4,-1.6,2021-11-14T07:11,2021-11-14T14:59,0.0,0,13.6,3.5,33,2.27,Tallinn
120,2021-11-15,45,1.7,-2.5,-0.7,-6.4,2021-11-15T07:13,2021-11-15T14:57,0.0,0,16.9,2.6,197,2.1,Tallinn
121,2021-11-16,3,6.1,0.8,2.6,-3.7,2021-11-16T07:16,2021-11-16T14:55,0.03,2,17.9,29.2,214,1.16,Tallinn
122,2021-11-17,3,5.4,3.3,2.0,-1.3,2021-11-17T07:18,2021-11-17T14:53,0.16,10,19.0,25.8,187,1.05,Tallinn
123,2021-11-18,61,6.0,3.2,2.8,-0.5,2021-11-18T07:20,2021-11-18T14:51,1.75,17,18.6,23.5,226,1.43,Tallinn
124,2021-11-19,3,5.9,3.2,0.6,-0.7,2021-11-19T07:23,2021-11-19T14:49,0.54,12,31.6,20.6,284,1.73,Tallinn
125,2021-11-20,3,5.2,2.5,2.1,-1.4,2021-11-20T07:25,2021-11-20T14:47,2.62,22,11.1,13.4,319,1.14,Tallinn
126,2021-11-12,3,6.3,2.5,2.0,-0.3,2021-11-12T07:09,2021-11-12T14:59,0.0,0,21.5,14.0,294,1.9,Helsinki
127,2021-11-13,45,3.5,0.3,1.5,-2.7,2021-11-13T07:12,2021-11-13T14:56,0.0,0,6.2,3.0,330,1.94,Helsinki
128,2021-11-14,3,2.7,-1.7,0.1,-5.3,2021-11-14T07:14,2021-11-14T14:54,0.0,0,12.9,7.6,352,2.33,Helsinki
129,2021-11-15,48,5.7,-2.8,1.3,-6.3,2021-11-15T07:17,2021-11-15T14:52,0.0,0,22.0,7.3,223,1.71,Helsinki
130,2021-11-16,3,7.3,5.7,4.4,1.5,2021-11-16T07:19,2021-11-16T14:50,0.08,4,18.3,24.2,242,0.74,Helsinki
131,2021-11-17,61,7.0,4.6,3.5,-0.6,2021-11-17T07:22,2021-11-17T14:48,1.59,21,25.0,30.7,200,0.67,Helsinki
132,2021-11-18,61,6.5,2.7,2.8,-0.8,2021-11-18T07:24,2021-11-18T14:46,2.83,8,25.9,23.2,238,1.62,Helsinki
133,2021-11-19,3,4.7,-2.9,-0.5,-9.8,2021-11-19T07:27,2021-11-19T14:44,0.0,0,36.3,27.0,287,1.55,Helsinki
134,2021-11-20,61,-2.0,-4.8,-5.5,-10.7,2021-11-20T07:29,2021-11-20T14:42,1.86,18,26.6,7.6,330,0.83,Helsinki
135,2021-11-12,45,11.9,1.5,10.6,-1.0,2021-11-12T07:53,2021-11-12T17:16,0.0,0,11.8,9.6,172,6.48,Paris
